lat,lon,genus,species,count
29.875885,-97.333929,Juniperus,virginiana,50
29.875885,-97.333929,Quercus,stellata,35
29.877314,-96.081103,Acacia,farnesiana,2
29.877314,-96.081103,Maclura,pomifera,3
29.877314,-96.081103,Melia,azedarach,1
29.885636,-102.130016,Prosopis,glandulosa,24
29.895837,-94.700316,Celtis,laevigata,8
29.895837,-94.700316,Fraxinus,pennsylvanica,1
29.895837,-94.700316,Salix,nigra,1
29.895837,-94.700316,Ulmus,americana,2
29.89746,-84.618687,Pinus,clausa,13
29.89746,-84.618687,Quercus,minima,1
29.90239,-95.251906,Quercus,nigra,33
29.90239,-95.251906,Quercus,phellos,4
29.90239,-95.251906,Triadica,sebifera,7
29.913837,-90.874439,Taxodium,distichum,22
29.913837,-90.874439,Nyssa,aquatica,10
29.917974,-85.058241,Populus,heterophylla,3
29.917974,-85.058241,Salix,nigra,6
29.920582,-81.726338,Gordonia,lasianthus,5
29.942118,-94.297254,Persea,borbonia,1
29.943369,-84.933603,Chamaecyparis,thyoides,13
29.943487,-83.187659,Quercus,michauxii,6
29.945527,-83.606247,Quercus,laevis,3
29.945527,-83.606247,Quercus,minima,18
29.945527,-83.606247,Quercus,incana,1
29.945894,-82.337973,Quercus,michauxii,2
29.947019,-104.315308,Juniperus,pinchotii,1
29.949875,-96.764204,Acacia,farnesiana,1
29.949875,-96.764204,Celtis,laevigata,6
29.949875,-96.764204,Maclura,pomifera,6
29.949875,-96.764204,Salix,nigra,7
29.953172,-98.960897,Ulmus,crassifolia,1
29.953172,-98.960897,Quercus,buckleyi,1
29.956888,-99.927057,Juniperus,ashei,26
29.956888,-99.927057,Prunus,serotina,18
29.956888,-99.927057,Quercus,laceyi,6
29.959051,-91.284492,Nyssa,aquatica,31
29.967646,-90.959391,Taxodium,distichum,15
29.967646,-90.959391,Nyssa,aquatica,6
29.970961,-97.733495,Ulmus,crassifolia,6
29.988144,-98.131592,Quercus,virginiana,22
29.990509,-81.862765,Persea,borbonia,1
29.997199,-101.572925,Juniperus,pinchotii,15
29.997199,-101.572925,Juniperus,ashei,4
30.005475,-103.628626,Juniperus,pinchotii,2
30.006118,-85.070377,Carya,aquatica,5
30.007229,-83.219798,Family Arecaceae,not listed above,2
30.008099,-96.05813,Quercus,nigra,31
30.008504,-97.996118,Juniperus,ashei,8
30.008504,-97.996118,Diospyros,texana,4
30.008504,-97.996118,Quercus,sinuata,1
30.008504,-97.996118,Quercus,virginiana,25
30.008504,-97.996118,Ulmus,crassifolia,5
30.012286,-84.887301,Pinus,serotina,4
30.01472,-99.086782,Juniperus,ashei,22
30.01472,-99.086782,Quercus,virginiana,2
30.015184,-82.294993,Taxodium,ascendens,34
30.015184,-82.294993,Gordonia,lasianthus,6
30.015214,-84.594477,Pinus,glabra,3
30.019673,-91.415377,Taxodium,distichum,7
30.019673,-91.415377,Nyssa,aquatica,22
30.019764,-84.739443,Chamaecyparis,thyoides,28
30.025938,-94.794218,Taxodium,distichum,4
30.025938,-94.794218,Carya,aquatica,5
30.025938,-94.794218,Celtis,laevigata,21
30.025938,-94.794218,Fraxinus,pennsylvanica,13
30.025938,-94.794218,Gleditsia,aquatica,4
30.025938,-94.794218,Triadica,sebifera,20
30.026307,-83.595459,Pinus,elliottii,58
30.026307,-83.595459,Quercus,laurifolia,4
30.026307,-83.595459,Quercus,virginiana,1
30.029351,-100.874285,Juniperus,pinchotii,2
30.029351,-100.874285,Juniperus,ashei,7
30.031989,-99.506568,Quercus,laceyi,9
30.03895,-98.39255,Quercus,buckleyi,1
30.049241,-98.254296,Diospyros,texana,4
30.051095,-97.154522,Juniperus,virginiana,10
30.051095,-97.154522,Pinus,taeda,456
30.051095,-97.154522,Quercus,marilandica,4
30.051095,-97.154522,Quercus,stellata,17
30.062978,-97.565169,Sideroxylon,lanuginosum,2
30.062978,-97.565169,Sapindus,saponaria,1
30.062978,-97.565169,Ulmus,crassifolia,18
30.065574,-101.15153,Juniperus,ashei,5
30.078243,-84.885714,Quercus,minima,1
30.080106,-99.626897,Quercus,virginiana,25
30.087331,-102.788316,Juniperus,pinchotii,1
30.087331,-102.788316,Prosopis,glandulosa,2
30.087476,-84.457843,Pinus,palustris,10
30.087476,-84.457843,Gordonia,lasianthus,25
30.087476,-84.457843,Persea,borbonia,3
30.096786,-101.419245,Juniperus,pinchotii,1
30.096786,-101.419245,Juniperus,ashei,3
30.096786,-101.419245,Diospyros,texana,4
30.099262,-85.169475,Carya,aquatica,1
30.101132,-95.484038,Pinus,taeda,13
30.101132,-95.484038,Carpinus,caroliniana,12
30.101132,-95.484038,Quercus,nigra,1
30.101132,-95.484038,Salix,nigra,3
30.101132,-95.484038,Ulmus,alata,1
30.101132,-95.484038,Triadica,sebifera,1
30.102909,-93.938672,Triadica,sebifera,12
30.103456,-83.544409,Prunus,serotina,8
30.103456,-83.544409,Quercus,laurifolia,7
30.104833,-92.870906,Triadica,sebifera,23
30.105373,-91.254821,Taxodium,distichum,39
30.105373,-91.254821,Nyssa,aquatica,35
30.105373,-91.254821,Planera,aquatica,1
